"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf, phone, email)","Facebook page url","Over 500 likes on FB (y/n)","logo_url","photo_url",
"C Barton Mccann School Of Art","http://mccannart.org/","admissions@mccannart.org","4144 Miller Rd","Petersburg",16669,"(814) 667-2538","C. Barton McCann School of Art, a 501 (c) (3) organization, is located just outside State College and offers a unique environment to support emerging artists of all ages. The natural setting cultivates a relationship between art and nature encouraging aesthetic awareness and creativity. This multisensory experience develops an inter-disciplinary curriculum for students to create and explore new horizons of artistic expression. Under the guidance of committed instructors, students discover new techniques and media. The school’s hands-on, experiential approach helps young artists gain confidence in developing and expressing their own personal language.","PA",6,19,"yes",,,"Drawing and Painting","Ceramics","Sculpture",,,,,,,,,"webform","https://www.facebook.com/McCannSchoolOfArt","yes","http://mccannart.org/wp-content/uploads/2014/05/McCann-Website-Banner1.png","https://scontent-b-ord.xx.fbcdn.net/hphotos-ash2/v/t1.0-9/539765_356914187756493_1246667252_n.jpg?oh=58d9d3af579ea0595713c7a73af3da38&oe=54D19E3C",
"Aura Ceramic & Supplies","http://www.auraceramics.com/","aura@auraceramics.com","12-16 South Second St.","Easton",18042,"610-252-2872","Aura Ceramics started in Easton over thirty years ago and we are enjoying ceramics more everyday. We can proudly say we are teaching some families third generation. With four certified teachers we have combined over 100 years experience in ceramics as teachers,artists and sculptors. For the children we have Saturday morning classes from 10:00 a.m.to 12:00 p.m.
No parents allowed, this is the children's time to create and create they do. Our certified teacher instucts them in all of the proper and latest techniques","PA",,,"yes",,"yes","Ceramics",,,,,,,,,,,"phone","https://www.facebook.com/pages/Aura-Ceramics-Supplies/143165752396827","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/936360_545977918782273_1175751110_n.jpg?oh=13f95108d5f8f13478eb09b3cdeb728b&oe=54D47B56","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/422949_320632521316815_2114522315_n.jpg?oh=dd453083408255e1ed4e1cbd6f31565b&oe=551C2E16&__gda__=1424094815_bd8edac582fd91b03fb28adda5dbc92d",
"Allegheny Center for the Arts","http://www.alleghenycenterforthearts.com/","alleghenycenterforthearts@gmail.com","217 Liberty St","Warren",16365,"(877) 919-7971","Our arts center works to have 6 week cycles for art classes in drama, photography, music, and fine art. We also have workshops in many areas of art.

The mission of the Allegheny Center for the Arts is to provide a creative, educational hub for arts and culture that offers opportunities for growth, development, and the partnership of arts-related programs and 
small businesses in the region.","PA",7,19,"yes",,,"Drawing and Painting","Jewelry Making","Photography and Video",,,,,,"graphic design",30,"per session","online","https://www.facebook.com/pages/allegheny-center-for-the-arts/275414079208","no","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/1385136_10152116948549209_1716554479_n.jpg?oh=eec2de8292be81639f2107b0e8922e81&oe=551D60D2&__gda__=1424734733_ced23cee997210c8245e1ad1773fec8c","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/10418904_10152545752754209_4835867296422936709_n.jpg?oh=8f20da86d3de578781fcfcf36878c42c&oe=54D6BB39",
"Mine by Design","http://www.minebydesignartstudio.com/","info@minebydesignartstudio.com","609 West Ave","Jenkintown",19046,"(215) 885-4545","Unleash your inner artist at Mine By Design Art Studio. Choose from paint your own pottery, glass fusing, clay molding, and so much more! We have something for every age and experience level.","PA",7,,"yes",,"yes","Ceramics","Pottery",,,,,,,,20,"per month","phone","https://www.facebook.com/MBDArtStudio","no","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/1004578_510331692366201_1409050559_n.png?oh=49fd4725712c57634bba99b12e624f41&oe=54D4CBE7&__gda__=1425140788_8af320d7cd28e261bbd721106d212903","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10302121_664064593659576_5314910560614829612_n.jpg?oh=3e51bf11a952a213d9dfc022839da746&oe=55202EC4",
"Pottery Works Mobile","http://www.potteryworksmobile.com/kids.html","potteryworks@hotmail.com","1147 Jericho Rd","Abington",19001,"(215) 805-8877","Pottery Works Mobile is a unique, personally tailored experience for any group to enjoy. With the hard work of our staff, PWM has introduced a new and exciting way for groups of any size, whether at the home or other location, a chance to flex their creative muscles. It is an unparalleled experience that allows you to not only connect with your friends, but your hidden artistic self. Our staff takes participants through the exhilarating stages of creating unmatched works (because they're yours!) of clay art that can be used for decoration or even practical uses around the house.","PA",,,,"yes","yes","Ceramics","Pottery",,,,,,,,10,"per person","phone","https://www.facebook.com/pages/PotteryWorksMobile/243852755698221","no","http://www.potteryworksmobile.com/images/1344021651.jpg]","http://www.potteryworksmobile.com/images/CommunityEvents.png",
"Craftoria","http://www.craftforia.com/","info@craftforia.com","102 Park Ave","Swarthmore",19081,"(610) 328-2110","Craftforia partners with local elementary schools, community centers, and churches to provide after school craft workshops for kids ages 8 and up. The programs are designed to nurture creativity while also supplementing academic learning. Each program follows a theme and consists of 5 two-hour sessions.  Kids will learn fun facts and make a craft to take home.","PA",8,,"yes","yes","yes","Crafts","Sewing",,,,,,,,100,"per session","phone","https://www.facebook.com/pages/Craftforia/228569283932453?fref=ts","no","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/480082_228575317265183_1230313827_n.jpg?oh=4d793bc319fc40de8c57160c4cdeb5a7&oe=54E8A8E9&__gda__=1423828024_3a9ec3a14ba0d5c1c9e5c774eb2a0cd4","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1175151_400070166782363_1011352954_n.jpg?oh=0bd7fbdfdcef1439a65d68a63f986fb2&oe=54D4DFDE",
"Buck's County Classical Art Center","http://www.buckscountyclassicalartscenter.org/childrens-art-programs.html","bcclassicalartsc@gmail.com","30 West Bridge St.#3","New Hope",18938,"(267) 221-6046","We are a non-profit classical art school whose mission is to preserve and advance the classical arts.","PA",7,13,"yes",,,"Drawing and Painting",,,,,,,,,140,"per session","online","https://www.facebook.com/BucksCountyClassicalArtsCenter","no","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/62898_341116229335689_117264373_n.jpg?oh=857a3bc72fe8e7ba488c2ee15be00d99&oe=54DF2C6F&__gda__=1427912031_99cdb1e9ea5bca969a74bc1468b24458","http://www.buckscountyclassicalartscenter.org/uploads/6/6/6/8/6668941/9461389.jpg?339",
"SPLAT A Family Art Studio","http://splatstudio.com/","SplatStudio@comcast.net","21 E Main St","Annville",17003,"(717) 685-1681","Offers classes in once a month, 4 and 10 week intervals.  Also offers summer camps and birthday parties.","PA",2,,"yes","yes","yes","Creative Arts","Drawing and Painting","Crafts","Ceramics",,,,,,124,"per session","pdf","https://www.facebook.com/splatstudio/info","yes","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/217789_10150145861213787_1213797_n.jpg?oh=03a65e16af07b9bcf7c9b580d956efc2&oe=54D49BD4&__gda__=1424522602_5eaaaf121e5ea3a4d86e4934a374cee2","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10458612_10152666967058787_3201413731126932924_n.jpg?oh=c5c7c9ee90b78df889fe9aef678ae16e&oe=54DB05D5",
"Carlisle Arts Learning Center","http://carlislearts.org/","info@carlislearts.org","38 W Pomfret St","Carlisle",17013,"(717) 249-6973","ArtWORKS!: An after-school program for middle school students that promotes self-esteem and giving back to the community through the arts.

Art Classes, Camps, and Lectures: Educational opportunities for both children and adults in a variety of mediums.
Classes from 3 year olds to 93 year olds!!","PA",3,,"yes","yes",,"Drawing and Painting","Ceramics",,,,,,,,55,"per session","online","https://www.facebook.com/pages/Carlisle-Arts-Learning-Center/93615723165","yes","http://static.squarespace.com/static/52162979e4b0a9e95ce2a869/t/5221737ee4b0c808758f2154/1415208843595/?format=750w","http://static.squarespace.com/static/52162979e4b0a9e95ce2a869/t/52376860e4b04e9390b63fac/1379362920738/photo%202-2.JPG?format=1000w",
"Carnegie Performing Arts Ctr","http://www.carnegieperformingartscenter.com/","info@CarnegiePerformingArtsCenter.com","150 E Main St","Carnegie",15106,"(412) 279-8887","The Carnegie Performing Arts Center is a not-for-profit organization dedicated to providing quality performance opportunity and  dance education.","PA",2,,"yes",,,"Dance","Music",,,,,,,"theatre",40,"per month","phone","https://www.facebook.com/CarnegiePerformingArtsCenter","no","http://www.carnegieperformingartscenter.com/cpac_logo_final_2004color.jpg","http://www.carnegieperformingartscenter.com/cpac-full-schedule-color.jpg",
"Bluebird Art","http://www.bluebirdart.net/classes.html","kristin5@bluebirdart.net","3815 Paxton Street","Harrisburg",17111,"(717) 877-0069","Bluebird Art is an art studio designed specifically for children ages 6-14. Developmentally age appropriate classes are taught by PA certified 
teachers","PA",6,14,"yes","yes",,"Drawing and Painting","Jewelry Making","Crafts",,,,,,"paper sculpture",35,"per session","phone","https://www.facebook.com/pages/Bluebird-Art/179316442234497","no","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/971257_179323258900482_1467369973_n.jpg?oh=d07b7b52bc6c53f34f3a089c13e7e1c1&oe=551EE928","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/10415585_307036189462521_6314996155595842558_n.jpg?oh=3dec3a8175818cd9fa9dc40d129f446b&oe=54E83D13",
"Artsy Doodle Craft Studio","http://www.artsydoodlecraftstudio.com/","artsydoodlecraftstudio@gmail.com","420 3rd St","Beaver",15009,"(724) 371-0174","Walk-in Arts & Crafts Studio for children, teens, and adults. 

Welcome to Artsy Doodle Craft Studio, a walk-in arts and craft studio for kids and adults. We have a wide selection of craft activities, such as paint your own pottery (yep-we have a kiln), paper mâché, canvas painting and even spin art.  You can also decorate dollhouses, superhero capes, princess/fairy tutus, wands, and wings.  At the embellishment bar you will find unlimited paint, accessories and all things that sparkle.  It’s a great place to hang out for some special bonding time with family and friends. There’s lots to doodle at Artsy Doodle!","PA",,,"yes",,"yes","Crafts","Drawing and Painting","Ceramics","Pottery",,,,,,8,"per class","phone","https://www.facebook.com/pages/Artsy-Doodle-Craft-Studio/535567559826802","no","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/p417x417/1236821_620245588025665_1560757005_n.jpg?oh=a4798398b04f056a94dcc661a4461c94&oe=54DD9977&__gda__=1423919422_04a8842470454823347f826710ada812","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/1376539_620245458025678_922596382_n.jpg?oh=75008b035854f376d0ea2680c92b683b&oe=54E1BC2D&__gda__=1425003438_303441ae77c2e0d4a7042974ed981bdd",
"Art Matters Studio","http://www.artmattersstudio.com/","artmattersstudio@yahoo.com","780 Eden Rd","Lancaster",17601,"(717) 208-6901","Art Classes for ages 2 and up, After School Art Programs, Homeschool, Fine Arts Classes, Summer and Vacation Art Camps,Birthday Art Parties, Painting Parties, Craft Classes, Art Enrichment Programs for Schools.","PA",2,,"yes",,"yes","Drawing and Painting","Crafts",,,,,,,,15,"per class","phone","https://www.facebook.com/ArtMattersStudio","yes","http://www.artmattersstudio.com/uploads/1/3/0/4/13048095/1412698559.png","http://www.artmattersstudio.com/uploads/1/3/0/4/13048095/6940951_orig.jpg",
"Hand Craft Workshop","http://www.handcraftworkshop.com/classes.html","shop@handcraftworkshop.com","7224 Germantown Ave,","Philadelphia",19119,"(215) 247-1440","Handcraft Workshop is a fabric boutique and sewing studio located in the delightful Mt. Airy neighborhood of Philadelphia. The shop carries a select inventory of designer fabric, sewing notions, and other crafting materials. Handcraft Workshop also teaches the joy of sewing and other handcrafts to children and adults in its two sewing studios. The sewing classes offered by Handcraft Workshop are designed for students with skill levels ranging from the very beginner (""I can't sew a button on shirt!"") to advanced (""You like my skirt? I made it!"").","PA",,,"yes",,,"Sewing",,,,,,,,,25,"per class","phone","https://www.facebook.com/HandcraftWorkshop","yes","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/1395267_545267662216957_1491600782_n.png?oh=56839db547e1153109385b15ba0fcfda&oe=54E93C7C","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/1966897_605952269481829_45714377_n.jpg?oh=6dc2092a231d6411b77ee783c859baf6&oe=54EEFCBA&__gda__=1428152836_0e33d576994c2717158edffabff985f4",
"Abington Art Studio","http://www.abingtonartstudio.com/","abingtonartstudio208@gmail.com","208 Depot St","Clarks Summit",18411,"(570) 313-0527","We are a family owned and operated studio which opened its doors for the first time in June 2012. Our instructors are art certified educators who are dedicated to your success!

We currently offer:
* Birthday Parties/Scout Parties
* Seasonal Parties for Kids
* Hourly Art Instruction - Now Enrolling      for Fall Classes
* Open Studio Time
* ""Mommy and Me"" classes
* Adult Workshops","PA",5,,"yes",,"yes","Ceramics","Drawing and Painting","Pottery","Crafts",,,,,,20,"per hour","phone","https://www.facebook.com/abingtonartstudio","yes","http://www.abingtonartstudio.com/logo.jpg","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10559831_704019706301794_2390810949659517161_n.jpg?oh=38f187f377185dd60815efd90bb93df8&oe=54DAA5FE&__gda__=1423045922_087b326029c6e19941248a0bbab9bcee",
"West Point Ballet","http://www.westpointballet.com/","info@westpointballet.com","400 Main St","Coraopolis",15108,"(412) 872-8325","West Point Ballet is directed by former dancers of National Ballet of Cuba, Florida Classical Ballet, Columbia Classical Ballet, and Pittsburgh Ballet Theatre. The school is sure to provide superior dance education that is both enjoyable and rigorous for every age and level of instruction.","PA",3,,"yes",,,"Dance",,,,,,,,,35,"per month","phone","https://www.facebook.com/westpointballet","no","http://www.westpointballet.com/uploads/2/7/8/2/27824567/1398968860.png","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/10462510_406146996193393_5991257523647546353_n.jpg?oh=d7a8ede7cbb099f38ba8969f2b311493&oe=54E6EB52",
"Art At 260 Park","http://artat260park.com/","creativity@artat260park.com","260 Park Rd","Downingtown",19335,"(610) 458-8325","Creative Arts, Studio Arts, History of Arts, Paint Your Own Pottery, Crafting galore, Craft Clubs, and more! Paint. Create. Express & Connect.","PA",2,,"yes",,"yes","Drawing and Painting","Ceramics","Pottery",,,,,,,99,"per session","online","https://www.facebook.com/artat260park","no","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/1524731_1379465872308823_936690031_n.jpg?oh=4b9583266b902609c4f4c3399546f4c6&oe=54EDA34A","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10441908_1416723905249686_7794452517974254449_n.jpg?oh=0338669a184dde4a5841638d9afb5c3c&oe=54D65F4A&__gda__=1424927861_61f9bb8e74b4e98344aa3009cc92b977",
"Silvi's Little Art Studio for Kids",,"artstudioforkids@hotmail.com","5301 Brightwood Rd","Bethel Park",15102,"(724) 413-3251","would need to call.....website doesnt work only facebook","PA",,,,,,,,,,,,,,,,,,"https://www.facebook.com/artstudiforkids/info","yes",,,
"Out of Our Minds Art Studio","http://www.faidley.net/","artclasses@faidley.net","65 S Lea St","Macungie",18062,"(610) 762-5694","Out of our Minds"" is an art studio located in the Lehigh Valley, instructing students in fine arts. Painting, sculpture, and drawing are just some of the designs students will learn and refine in the studio.","PA",3,,"yes",,"yes","Drawing and Painting","Ceramics","Pottery","Crafts",,,,,,25,"per class","phone","https://www.facebook.com/pages/Out-Of-Our-Minds-Art-Studio/297363157701","yes","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/1656054_10152195940227702_307342994_n.jpg?oh=8a2cf8fd102e3d2baed6b9f1b0a5e7d0&oe=54F0AD89","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/1779167_10152200334922702_418262440_n.jpg?oh=42770ae3966c86853cf5f7e294d43873&oe=54D22A48&__gda__=1424367888_bfee85e0e500bcb966e85d0fedeaa005",
"Gravity Art & Design Studio","http://gravitydesignlabs.com/shop/","daphne@gravityarts.net","5160 Hamilton Boulevard","Allentown",18106,"(610) 844-2875","Art Studio offering traditional art classes for kids and adults as well as SMArt engineering design classes for kids. Art school, camp and cooking lessons.","PA",3,,"yes","yes",,"Drawing and Painting","Crafts","Digital Media",,,,,,"cooking",36,"per session","online","https://www.facebook.com/gravityADA","no","http://gravitydesignlabs.com/wp-content/uploads/2014/10/GravityLogoSm_100414.jpg","https://scontent-b-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/10689853_290065424520496_2858329373843453386_n.jpg?oh=56d60c5846c9da59018c666f13d2ea51&oe=54D51B40",
"Lille Syster","http://www.lillesystereaston.com/parties/","lillesyster.katie@gmail.com","228 Northampton Street 2nd flo","Easton",18042,"(484) 316-0601","Lille Syster is a paper flower making studio. We are open for workshops and birthday parties. By appointment only.","PA",,,,,"yes","Crafts",,,,,,,,"paper flower making parties",150,"per party","phone","https://www.facebook.com/LilleSyster","yes","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/1460086_574755449263653_1409156349_n.png?oh=a61886c50a5d0d47f3a971fd18061191&oe=54DF0780&__gda__=1424652201_25ad315512d05e84568b56846bdd7406","https://scontent-a-ord.xx.fbcdn.net/hphotos-frc3/v/t1.0-9/559364_395468650525668_426084067_n.jpg?oh=abfa9d56f623f6e1c5b3126e392f9248&oe=54E9FD8A",
"The Yocum Institute For Arts Education","http://institute-of-arts.org/","preschool@institute-of-arts.org","1100 Belmont Ave","Wyomissing",19610,"(610) 376-1576","Classes in Visual Art, Theater, Dance, Music including private instrumental and voice.","PA",3,,"yes","yes",,"Drawing and Painting","Music","Dance",,,,,,,66,"per session","phone","https://www.facebook.com/YocumInstitute","yes","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-ash2/v/t1.0-9/1235323_10153175292790191_633027220_n.jpg?oh=b4d1da37fe42d1fc8ec3a02237e35720&oe=54EF5B83&__gda__=1424544332_7e0cc9845a9103c70fd29e1df8570272","https://scontent-b-ord.xx.fbcdn.net/hphotos-frc3/v/t1.0-9/944446_10152783920965191_1369392032_n.jpg?oh=64f8f379f7539d8b045dc222b380fa8f&oe=54E5192B",
"Community Arts Center","https://communityartscenter.org/","info@communityartscenter.org","414 Plush Mill Rd","Wallingford",19086,"(610) 566-1713","The arts are essential to human development and the well being of society. The Community Arts Center is dedicated to providing a nurturing environment for artists at all levels of their creative journey, encouraging participation in the arts.
ARTstart is an arts-based early childhood program that runs for the full school year – three mornings a week with an option for four mornings.
Lucky Charms is an afternoon arts enrichment program for 3 to 5 year olds.  Each day of the week has a special theme from music to photography to clay!","PA",3,,"yes","yes",,"Drawing and Painting","Music","Pottery","Photography and Video",,,,,,320,"per session","phone","https://www.facebook.com/pages/Community-Arts-Center/44022646031","yes","https://communityartscenter.org/images/logo.jpg","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/533427_10151407088101032_1732034018_n.jpg?oh=5a635e42ee3d1d07bbc03740899c7c3d&oe=551C647B",
"University City Arts League","http://www.ucartsleague.org/","lpg@ucartsleague.org","4226 Spruce St","Philadelphia",19104,"(215) 382-7811","University City Arts League is a nonprofit organization dedicated to education and cultural enrichment in the arts. We serve people of all ages in our diverse community.","PA",,,"yes","yes",,"Drawing and Painting","Creative Arts","Pottery","Dance","Digital Media",,,,"Foreign Language, Yoga",134,"per session","online","https://www.facebook.com/ucartsleague","yes","http://www.ucartsleague.org/wp-content/themes/ucal2014/images/ucal.png","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10536939_657646224327286_8924924969839475753_n.jpg?oh=f2672ff89eafdd4bfe468db9883e428a&oe=54DD7F44&__gda__=1428177304_ba6ec40a3f252f284ac21f7ce50a94a4",
"Music Together","http://www.musictogetherofsc.com/classes.htm","kdimuccio@juno.com","624 Kennard Rd","State College",16801,"(814) 466-3414","Our Music Together classes build on your child's natural enthusiasm for music and movement. We'll help you provide your child with the basic musical skills needed to enjoy school and social musical activities, and to study an instrument should he or she choose to do so.

We have so much fun in music class. It's really a family music experience where we celebrate each other while sharing music, movement, and a little silliness.","PA",1,,"yes",,,"Music",,,,,,,,,145,"per session","webform","none","n/a","https://www.musictogether.com/content/media-files/homepage-img.png","http://www.musictogetherofsc.com/cache/141110_0109290/templates/Vintage/site_type/MUSIC_TOGETHER/img/right_bottom_image.png",
"Metropolitan Music Academy","http://www.metropolitanmusicacademy.com/","info@metropolitanmusicacademy.com","15 Pine Street","Catasauqua",18032,"610-433-4344","Voice Lessons Piano Lessons Instruction Guitar Lessons Allentown Bethlehem Catasauqua Easton Northampton Singing Lehigh Valley Piano Voice Vocal Coach Breinigsville Guitar Nazareth Piano Career Music Children's Music Lessons Adult Music Instruction Beginner Music Lessons, Rock Vocal Instruction Broadway Theater Auditions Music Career Students Vocal Clinic Vocal Evaluation, Performance Ready Auditions, Freddy Award Winning Students Voice Lessons Piano Lessons Lehigh Valley Voice Instruction Vocal Coach Piano lessons Children's Music Lessons Adult Beginner Music Lessons singing Broadway Theater Auditions Voice Piano Guitar lessons","PA",,,"yes",,,"Music",,,,,,,,,,,"phone","none","n/a","cant find one!","http://lvmet.com/yahoo_site_admin/assets/images/oct5_004.280170103_std.jpg",
"Cheryl Chickey's All American Performing Arts Center","http://www.cherylchickeysallamerican.com/","info@cherylchickeysallamerican.com","1825 W Broad St","Bethlehem",18018,"(610) 865-0145","Classes Offered in:                               

Creative Movement-Intro to dance-2 1/2 - 3 yrs. old
Jazz & Hip Hop
Classical Ballet
Tap
Combo classes in ballet/tap/jazz or ballet/tap
Lyrical
Contemporary
Adult Jazz
Jazz For Style
Gymnastics 
Zumba                    
Baton Classes Novice- Advanced levels (1, 2 & 3 baton)
Majorette Tryouts Preparation
Speciality Classes for Pageant Preparation
Competitive Teams, Pre-Competitive Teams & Regular Recital Classes","PA",2.5,,"yes",,,"Dance",,,,,,,,"gymnastics",45,"per month","phone","https://www.facebook.com/CherylChickeysAllAmericanPerformingArtsCenter","no","https://scontent-a-ord.xx.fbcdn.net/hphotos-ash2/v/t1.0-9/541845_514613001902579_233956014_n.jpg?oh=111618dec0d508101e4b457dcb36e022&oe=551B8054","http://www.cherylchickeysallamerican.com/nss-folder/pictures/scan0001.jpg",
"Totts Gap Arts Institute","http://tottsgap.org/","arts@TottsGap.org","1494 Totts Gap Rd","Bangor",18013,"(610) 588-5817","The mission of the Tott's Gap Arts Institute is to nurture artists of all ages, and to awaken the excitement, passion, and possibility of both the fine and performing arts by offering classes, showcasing talent, and hosting events that will infuse our community and the region with a love and respect for the creative process.","PA",5,,"yes",,,"Dance","Drawing and Painting","Creative Arts","Photography and Video","Pottery",,,,"knitting",150,"per session","online","https://www.facebook.com/totts.arts","no","http://tottsgap.org/images/TottsGapWebLogo.png",,
"Pottery Works In Historic Downtown Lancaster","http://thepotteryworks.com/","cant find one","16 W Orange St","Lancaster",17603,"(717) 299-9963","open paint your own pottery studio","PA",,,,,"yes","Pottery","Ceramics","Drawing and Painting",,,,,,"beads",,,"phone","https://www.facebook.com/ThePotteryWorks","yes","http://thepotteryworks.com/images/header.png","https://scontent-b-ord.xx.fbcdn.net/hphotos-frc3/v/t1.0-9/1474581_684408358256353_1437672025_n.jpg?oh=0cf1702625345a629b9b450f19b0a07c&oe=54D9CEB3",
"Historic Yellow Springs","http://yellowsprings.org/","inquiries@yellowsprings.org","685 Art School Rd","Chester Springs",19425,"(610) 827-3059","Historic Yellow Springs, Inc. is a nearly 300 year old historic village that is the home to a vibrant arts center as well as a number of historic buildings and structures. We have over 100 acres, and a collection of art, artifacts, and archives for research, education, and community involvement. The grounds are open to the public 365 days a year dawn to dusk. Explore a unique 'living' village with a 300 year old history. Check our website for all the art classes, exhibitions, events and programs that happen year round.","PA",,,,,,"Drawing and Painting","Pottery","Ceramics",,,,,,,135,"per session","phone","https://www.facebook.com/HistoricYellowSprings","yes","http://dev.yellowsprings.org/wp-content/uploads/2014/02/Logo.png","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/10390351_713751878683509_9033499797207609264_n.jpg?oh=91cfb3019eba37d3cb678328ab7f1805&oe=54EBAA30&__gda__=1424440961_b92054553cf8e716e7341d138464c5b5",
